lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
150,0,794,9,26,3,0,1,0,0,1
64,0,1994,5,16,4,3,1,0,0,0
124,1,1958,5,6,4,2,1,3,0,1
8,0,770,3,8,2,1,0,0,0,1
30,0,830,2,13,4,1,0,0,0,0
94,0,1286,7,12,4,5,1,0,3,0
71,0,1407,5,10,3,3,0,0,1,1
134,0,1151,6,30,4,3,0,0,0,0
118,1,180,8,26,4,4,0,0,0,0
71,1,167,3,14,4,4,1,0,0,1
4,0,833,1,10,4,0,1,0,0,1
1,0,3009,7,24,4,2,2,3,0,1
12,1,1155,2,18,4,3,1,0,0,1
8,0,280,3,9,3,2,0,0,0,1
47,1,2248,3,18,4,2,2,3,0,0
275,0,1819,4,17,4,0,2,0,1,0
16,1,2420,4,8,4,2,0,3,0,1
172,0,497,7,26,3,5,1,0,0,1
134,0,2007,6,18,4,1,0,0,3,1
68,0,2803,9,16,4,1,0,3,0,0
88,0,582,5,8,3,3,2,0,0,1
98,1,1594,7,6,4,4,2,0,3,1
8,0,345,5,4,2,1,0,0,0,1
33,1,1630,9,2,4,1,0,0,0,1
35,0,1409,5,22,4,2,2,0,3,0
1,3,1682,8,20,4,2,0,0,0,1
195,1,1085,10,17,4,2,2,0,0,0
237,0,794,8,10,4,4,0,0,3,0
1,0,0,11,5,1,2,0,0,0,1
55,1,2092,4,6,4,3,0,0,0,0
50,1,235,2,12,4,2,0,0,0,1
73,1,913,3,17,4,3,0,0,0,0
2,2,1211,11,16,4,6,2,0,0,1
182,0,2136,10,12,3,1,0,0,0,0
271,1,1516,9,21,4,3,0,0,0,0
274,1,1358,7,31,4,1,2,1,0,1
126,1,737,11,4,4,1,0,0,3,0
100,1,2539,5,19,4,3,1,0,0,1
30,0,677,3,9,4,3,0,1,0,0
132,2,2989,9,22,4,3,0,3,0,1
42,1,891,3,10,4,3,0,0,0,1
61,0,1652,11,26,3,1,2,0,0,1
3,3,2845,9,12,4,1,0,0,0,1
3,0,1819,10,19,3,3,1,0,0,1
96,2,2103,10,19,4,4,0,0,0,1
2,1,3126,5,26,4,3,0,3,0,1
154,1,1864,7,10,4,1,2,0,0,0
57,0,2795,4,28,4,2,0,0,0,1
3,1,3167,8,13,4,1,1,0,0,1
18,1,2679,9,7,4,5,1,0,0,0
335,0,1114,10,13,3,3,0,0,0,1
157,0,1922,6,7,4,3,0,0,0,0
93,0,1216,12,10,3,1,1,0,0,1
5,2,2143,9,19,4,1,2,0,3,1
101,2,1814,8,20,4,1,2,1,0,1
99,1,1958,4,28,4,2,0,0,0,1
68,0,781,2,26,4,2,1,0,0,1
25,0,1481,11,12,4,2,2,3,0,1
2,2,1407,8,12,4,3,0,0,0,1
0,0,2914,8,25,4,1,0,5,0,1
4,1,2334,8,21,4,2,2,0,3,1
131,0,497,7,9,3,1,1,0,0,1
102,0,1751,10,2,4,1,2,0,3,0
118,1,2103,8,2,4,3,0,3,0,1
5,1,1109,11,27,4,2,2,0,0,1
7,0,2679,5,11,4,3,0,0,0,0
17,2,2602,10,6,4,1,0,0,0,1
51,0,2076,6,30,4,3,0,0,0,0
65,0,1680,4,26,4,3,0,0,0,0
160,0,2133,5,27,4,2,0,0,0,0
37,0,1724,3,31,4,4,2,0,3,0
75,0,292,6,15,2,1,0,0,0,1
89,0,2007,5,29,4,1,2,0,3,0
32,0,737,11,19,4,1,0,0,3,1
19,1,2044,10,6,4,3,0,3,0,1
85,0,987,7,5,3,3,0,0,0,1
8,0,144,3,1,3,2,0,0,0,1
9,3,3055,9,8,4,1,0,0,0,1
45,2,2268,6,1,4,1,0,0,0,1
20,1,1369,11,15,4,5,1,3,0,1
154,0,582,4,19,3,3,0,0,0,1
198,3,2007,9,15,4,1,0,0,3,1
78,2,2133,5,14,4,2,2,0,0,1
336,0,829,9,21,3,6,2,0,0,1
0,0,1785,3,5,4,1,0,0,0,1
5,0,292,9,2,2,1,0,0,0,1
194,1,1549,8,22,4,2,1,0,1,0
55,1,1751,9,2,4,2,1,0,3,0
1,2,3380,9,24,4,1,0,5,0,1
90,0,2661,8,7,4,2,2,3,0,1
1,0,0,8,20,1,2,0,0,0,1
40,2,1286,9,13,4,3,2,0,0,1
10,0,731,2,13,4,1,2,0,3,0
3,1,3141,9,19,4,1,1,3,0,1
70,2,1382,10,18,4,2,0,0,3,1
68,1,201,11,30,3,3,1,3,0,1
103,1,3301,8,2,4,5,2,6,0,1
35,1,2268,6,26,4,2,2,0,0,1
71,0,1019,4,22,4,2,2,0,3,0
86,0,31,3,23,3,3,0,0,0,1
17,0,770,3,17,2,2,0,0,0,0
7,0,3101,3,23,4,3,0,3,0,1
182,2,2076,9,30,4,2,0,0,0,0
4,0,3064,9,15,4,1,0,0,0,0
71,0,51,3,12,4,3,2,0,3,1
214,1,813,7,12,4,4,0,1,0,0
63,0,1085,9,6,4,0,1,0,0,1
80,1,1976,12,27,4,3,0,3,0,1
4,0,731,11,29,2,1,0,0,0,1
50,0,201,1,22,3,3,2,0,0,1
95,0,644,4,3,4,1,2,0,3,1
121,0,1170,7,27,4,2,0,3,0,0
13,1,2267,6,26,4,0,2,0,0,0
240,1,447,12,31,4,2,2,0,3,0
29,1,2889,10,15,4,1,1,3,0,0
193,0,1309,8,26,4,2,2,0,0,0
32,1,355,2,6,4,1,1,0,3,0
100,0,2133,5,4,4,4,0,0,0,0
85,1,1170,7,13,4,4,1,3,0,1
50,0,11,2,22,3,5,2,4,0,0
102,0,1303,5,2,4,4,1,0,3,0
94,0,1659,7,14,4,3,0,0,0,0
38,1,830,3,11,4,2,2,0,0,0
12,1,1114,8,31,4,2,1,0,0,1
120,2,2453,10,13,4,3,0,3,0,1
15,0,770,1,26,2,1,0,0,0,1
78,0,1659,3,25,4,2,1,3,0,0
16,1,2164,8,1,4,0,1,0,0,1
14,0,2964,10,22,4,1,0,0,0,0
147,0,1302,6,2,3,3,0,0,0,0
28,1,1341,5,11,4,3,0,0,3,1
50,2,2704,10,5,4,2,0,0,0,1
0,1,2520,6,12,4,0,1,0,0,1
170,2,2775,8,6,4,5,2,0,0,0
28,1,2539,10,27,4,2,0,3,0,1
199,1,371,11,4,3,2,1,0,0,1
3,0,1302,6,20,3,3,1,0,0,1
1,0,1785,7,29,4,1,0,0,3,1
15,0,699,9,30,4,3,0,0,3,1
5,1,1785,8,1,4,1,1,0,3,0
1,0,345,9,6,2,3,0,0,0,1
49,2,737,11,3,4,2,0,0,3,1
7,1,1868,11,6,4,4,2,0,0,1
116,2,2520,12,22,4,3,0,3,0,1
54,2,2956,7,3,4,0,1,3,0,1
20,0,809,12,7,4,3,0,0,3,1
106,0,2956,6,17,4,2,1,0,0,0
30,1,3386,8,6,4,1,0,5,0,1
70,0,31,1,15,3,2,1,0,0,1
142,2,497,7,13,3,4,1,0,0,1
39,1,548,11,11,4,3,2,0,0,1
212,1,2379,9,26,4,3,1,0,0,0
252,2,811,12,28,4,4,1,0,0,1
54,0,937,6,11,3,1,2,0,3,1
4,1,3196,8,5,4,1,0,3,0,1
178,1,1450,8,10,4,4,0,0,0,1
7,1,1375,8,19,4,2,0,5,0,1
54,0,2782,2,28,4,2,2,5,0,0
23,2,2044,10,8,4,2,0,3,0,1
48,1,2626,5,10,4,5,0,3,0,1
124,1,1958,5,6,4,2,0,3,0,1
134,1,2018,10,22,4,5,2,3,0,1
34,2,1047,11,14,4,0,1,0,3,1
71,0,1912,4,24,4,1,2,3,0,1
162,0,1594,8,8,4,2,1,0,3,0
136,1,1048,8,13,4,1,2,0,0,1
281,1,373,12,28,4,4,2,0,0,1
99,3,1085,10,10,4,1,2,0,0,1
34,1,3278,8,8,4,2,1,0,1,0
47,1,2626,5,21,4,1,1,3,0,1
33,1,0,10,31,4,0,0,0,0,1
11,1,1077,1,21,4,3,1,0,0,1
119,1,1594,5,19,4,1,0,0,3,1
52,0,2537,7,27,4,3,0,0,0,0
58,1,1316,12,9,4,2,0,0,0,1
196,0,644,5,12,3,3,1,0,0,0
19,1,295,9,11,4,0,2,0,3,0
167,0,1409,10,1,4,1,2,0,3,0
123,1,2838,11,6,4,2,2,0,0,1
60,1,1219,4,1,4,2,1,0,0,0
96,0,644,9,1,3,7,2,0,0,1
99,0,879,4,8,4,2,2,0,3,0
152,1,1721,4,30,4,1,0,0,0,0
54,0,292,10,5,2,0,1,0,0,1
238,1,2305,9,21,4,2,0,0,0,0
0,0,2866,10,10,2,2,1,0,0,1
8,0,308,2,3,3,4,1,0,0,1
51,3,1751,10,9,4,0,2,0,3,1
24,1,1302,5,14,3,1,0,0,0,1
33,0,952,9,28,3,3,0,0,0,1
18,0,1234,9,9,4,4,0,0,3,0
35,0,1023,2,10,4,4,0,0,0,0
22,0,3249,4,16,4,2,2,6,0,0
39,0,937,3,14,3,2,1,0,0,1
40,0,28,12,26,3,1,2,0,0,1
103,2,224,3,3,3,3,0,0,0,1
130,2,2609,9,29,4,3,0,3,0,1
114,1,576,11,13,4,4,2,0,3,0
150,0,371,7,4,3,4,1,0,0,1
19,0,75,2,8,3,2,1,3,0,1
179,0,3166,8,15,4,5,1,3,1,0
190,0,2237,8,2,4,6,2,0,0,0
65,0,1572,6,21,4,3,0,0,0,1
122,1,1659,5,12,4,2,0,0,0,1
93,2,2076,8,12,4,2,1,0,0,0
17,0,1419,12,3,4,4,2,0,0,1
87,2,1888,8,27,4,4,2,0,0,1
19,1,2079,9,6,4,2,0,0,3,1
74,0,1152,5,2,3,4,1,3,0,1
1,1,1438,1,4,4,0,1,3,0,1
73,1,1085,10,26,4,3,1,0,0,1
104,1,850,4,3,4,2,2,0,0,1
54,0,2268,8,26,4,1,0,0,3,0
3,0,3077,9,12,4,1,1,3,0,0
82,0,952,6,23,4,1,0,0,3,0
20,0,1234,3,8,4,1,0,0,0,1
53,0,2576,4,7,4,3,0,3,0,1
4,0,770,1,19,4,1,0,0,0,1
89,4,576,12,17,4,6,2,0,3,1
47,2,1011,12,24,4,1,0,0,0,1
33,2,2201,6,19,4,1,2,3,0,1
102,0,497,7,8,3,2,2,0,0,1
204,1,2305,9,8,4,3,0,0,0,0
54,2,2661,9,1,4,1,0,3,0,1
11,1,2857,6,2,4,3,0,3,0,1
157,2,2177,7,14,4,2,0,0,0,0
2,2,1682,8,21,4,2,0,0,0,1
8,0,770,2,19,2,1,0,0,0,1
55,1,1520,12,8,4,3,0,3,0,1
5,1,1733,12,10,4,1,1,0,0,1
53,1,1047,11,4,4,2,0,0,3,1
42,0,2708,8,29,4,3,1,3,0,0
11,3,2520,10,2,4,0,2,0,3,1
13,1,1140,11,22,3,0,2,0,0,1
19,2,1169,9,30,4,4,0,3,0,1
13,0,345,9,5,2,2,1,0,0,1
16,2,1652,9,9,4,3,0,0,0,1
67,1,3058,9,12,4,0,1,3,0,0
29,2,1123,9,30,4,2,0,0,0,1
95,2,1114,11,20,4,0,2,0,0,0
246,1,1363,7,20,3,3,0,0,0,0
49,2,1434,6,8,4,3,0,3,0,1
102,0,165,3,25,3,2,2,0,0,1
0,0,345,9,13,2,2,0,0,0,1
19,2,3118,7,5,4,4,0,3,0,1
64,1,2691,8,27,4,1,2,3,0,0
76,0,850,7,1,3,5,2,3,0,1
28,0,3334,10,6,4,3,1,3,1,0
38,1,2157,12,21,4,4,1,0,0,1
44,2,1431,11,26,4,1,1,0,0,1
85,1,2044,6,4,4,1,1,0,0,1
15,1,1234,2,24,4,4,0,0,0,1
317,1,1689,9,1,4,3,0,0,0,0
11,1,2383,7,25,4,2,1,0,0,1
91,1,1804,5,22,4,2,2,0,3,1
70,0,1724,7,7,4,1,0,0,3,0
5,0,1309,4,17,3,1,2,0,0,1
1,2,1939,8,20,4,3,2,0,0,1
157,0,1886,7,16,3,1,1,0,0,0
5,1,1340,12,13,4,1,0,0,0,1
34,1,1447,1,22,4,2,1,0,0,1
104,0,1879,5,4,4,4,0,0,0,0
103,2,3221,11,7,4,3,1,0,0,1
6,1,731,2,20,4,1,0,0,3,1
12,0,165,1,5,3,1,0,0,0,1
86,1,1447,4,6,4,3,0,3,0,1
34,2,1151,10,18,4,3,2,0,0,1
12,0,292,10,27,2,1,0,0,0,1
9,1,2346,9,11,4,2,0,0,0,1
75,2,2001,5,22,4,2,2,0,0,1
1,0,1302,4,12,0,1,0,0,0,0
9,1,2842,8,26,4,2,1,3,0,0
127,1,2755,10,2,4,3,2,5,0,1
108,2,2591,7,6,4,4,1,3,0,1
232,2,1692,10,24,4,4,1,0,0,0
6,2,420,1,12,4,2,0,0,3,1
19,1,378,11,20,4,5,2,0,0,1
250,2,491,7,16,3,1,2,0,0,1
64,3,2394,4,4,4,3,1,3,0,1
39,1,3058,9,9,4,2,2,3,0,1
34,2,1751,10,2,4,1,2,0,3,1
133,1,2177,6,9,4,3,0,0,0,1
89,1,2617,7,18,4,3,1,3,0,0
92,1,644,8,7,4,4,2,0,0,0
4,2,3118,8,30,4,2,0,3,0,1
64,1,420,2,9,4,3,0,1,0,1
36,2,2240,9,25,4,3,2,0,0,1
52,3,1604,12,4,4,2,2,0,0,1
54,0,1314,3,28,4,4,1,4,0,1
34,0,770,12,1,2,3,0,0,0,1
12,1,1319,9,12,4,1,2,0,0,1
16,1,2306,3,19,4,1,0,0,0,1
113,1,3250,10,8,4,2,2,5,0,0
147,2,952,10,27,4,1,0,0,0,0
108,1,644,8,24,4,2,1,0,0,1
38,1,692,12,2,4,2,2,1,0,1
3,0,582,3,11,2,1,0,0,0,1
55,0,469,11,13,4,1,2,0,3,0
35,1,552,2,9,4,4,0,0,0,1
7,2,2246,12,13,4,2,0,0,0,1
53,1,2537,9,15,4,1,0,0,0,1
87,1,3197,9,6,4,5,2,3,1,1
81,2,2268,8,16,4,1,0,0,3,1
77,0,2768,8,26,4,2,2,3,0,0
15,1,2306,3,18,4,2,0,0,0,1
28,1,3064,7,27,4,1,0,0,0,1
14,0,3229,7,3,4,1,2,3,0,0
131,1,1224,6,26,4,3,2,1,0,1
71,2,2266,4,23,4,3,2,3,0,1
54,2,3117,3,27,4,1,2,5,0,1
51,0,582,11,11,3,2,2,0,0,1
0,0,1511,7,23,4,1,0,0,0,1
133,2,576,12,22,4,4,2,0,3,0
2,1,1077,4,13,2,2,0,0,0,1
11,2,2602,8,8,4,3,1,0,3,1
278,0,554,12,23,4,5,2,0,0,0
24,2,1953,10,8,4,3,0,0,3,1
9,1,2796,9,22,4,1,0,0,3,1
68,1,613,4,1,4,2,2,0,3,0
0,0,1302,2,14,4,0,1,0,0,1
37,1,1871,6,29,3,1,0,0,0,1
0,0,2520,5,17,4,1,0,0,0,1
0,0,2082,9,29,4,1,0,0,3,0
31,1,2626,5,20,4,1,0,3,0,1
76,2,2305,6,17,4,2,2,0,0,1
52,0,1286,4,12,4,3,0,0,3,0
131,2,515,8,5,4,2,0,0,3,1
22,2,2602,9,15,4,2,0,0,3,1
79,2,2288,12,27,4,1,0,3,0,1
90,0,581,3,6,4,3,2,0,0,1
229,0,2043,7,4,4,3,1,3,0,0
247,0,1850,12,27,4,5,1,3,0,1
176,0,225,3,20,4,4,2,0,0,0
49,1,781,3,4,4,2,1,0,0,1
0,0,904,4,5,3,1,0,0,3,1
34,0,937,10,20,3,3,0,0,0,1
13,2,2109,4,8,4,1,0,0,0,1
126,1,1239,8,6,4,1,2,0,3,1
65,0,371,12,17,3,1,2,0,0,1
4,0,435,1,8,3,2,1,0,0,1
132,1,1920,5,13,4,2,2,3,0,1
10,1,576,12,23,4,2,2,0,3,1
131,1,1510,7,11,4,4,1,0,0,1
25,0,497,7,1,3,2,2,0,0,1
33,1,1614,11,26,4,1,0,0,0,0
43,1,2537,8,7,4,0,2,0,0,1
8,1,2467,8,16,4,2,0,0,3,1
2,1,1407,1,22,4,2,0,0,0,1
44,2,1079,10,16,4,0,1,0,3,1
28,2,2917,4,11,4,3,1,0,1,1
108,2,1531,4,26,4,4,0,3,0,1
15,0,1857,5,25,4,1,0,0,0,1
90,0,2821,8,16,4,11,4,3,0,0
48,0,3432,8,30,4,4,0,5,1,0
5,1,1847,8,30,4,5,2,0,0,1
63,1,1846,6,26,4,3,2,0,0,1
49,1,554,3,9,4,4,1,0,0,1
2,2,1077,8,21,4,2,2,0,3,1
49,1,1692,3,19,4,4,2,3,0,1
7,0,2704,5,5,3,3,0,0,0,1
122,0,2661,7,30,4,2,2,3,0,0
26,2,2657,10,3,4,2,1,0,3,1
106,2,2956,8,9,4,3,0,3,0,1
85,0,99,7,5,4,1,2,0,0,0
42,2,250,11,20,3,2,0,0,0,1
0,0,0,12,16,1,1,0,0,0,1
0,0,292,5,2,2,0,1,0,0,1
58,1,582,11,20,3,1,2,0,0,1
14,2,315,1,15,4,2,0,0,0,1
134,1,3134,8,1,4,4,1,5,0,1
50,0,2960,8,22,4,6,3,3,0,0
335,1,1114,10,13,3,3,1,0,0,1
16,0,679,12,22,4,3,2,3,0,1
13,1,946,8,27,4,5,2,1,0,0
144,0,794,6,27,4,3,1,0,3,1
9,2,1785,8,31,4,4,1,0,0,0
10,0,320,2,4,2,1,0,0,0,1
29,2,2192,8,30,4,1,0,0,0,1
126,0,527,7,11,4,2,1,0,3,0
106,0,232,1,5,3,4,0,3,0,1
18,1,839,10,31,4,2,1,0,3,1
221,2,1989,9,29,4,3,0,0,0,0
14,1,1790,5,23,3,0,1,0,0,1
16,1,937,10,8,3,1,1,0,0,1
45,0,1464,4,24,4,3,2,0,0,1
63,2,1594,7,23,4,1,0,0,3,1
23,2,1340,9,2,4,2,0,0,3,1
170,1,937,7,19,4,4,0,0,3,1
175,2,1249,9,11,4,2,2,0,0,1
49,1,463,3,17,4,1,0,0,3,0
12,0,737,5,25,3,1,0,0,3,1
5,0,2395,4,28,4,1,0,0,1,1
60,0,1871,8,28,4,2,2,3,0,1
21,3,1652,9,5,4,2,2,0,0,1
2,0,2136,6,2,4,2,0,0,0,1
92,1,1353,4,14,4,3,0,0,0,1
155,2,1006,7,14,4,5,2,0,3,1
39,2,1436,2,8,3,1,1,0,0,1
96,1,2007,5,23,4,0,1,0,3,1
0,1,3167,9,25,4,2,2,3,0,1
41,2,1680,10,16,4,2,1,0,0,1
12,1,2393,2,5,4,2,1,3,0,1
74,0,132,2,17,4,4,1,0,0,1
117,0,582,2,29,3,1,1,0,0,1
111,1,497,12,3,4,3,2,0,0,0
3,0,2109,4,28,4,1,0,0,3,1
14,1,0,9,12,1,0,1,1,0,1
49,0,266,3,18,3,2,1,0,0,1
0,0,582,3,8,2,1,0,3,0,1
19,0,2812,11,7,4,1,1,0,0,0
200,1,2747,9,1,4,3,2,0,1,0
48,1,781,3,5,4,1,0,0,0,1
0,0,0,9,18,1,0,2,0,0,1
101,0,706,3,18,4,2,1,0,0,0
41,1,1769,6,19,4,2,2,0,0,1
170,2,1369,9,12,3,1,0,0,1,1
7,1,904,7,25,2,0,1,0,0,1
9,1,299,11,13,4,3,2,0,0,1
216,1,1353,8,30,4,2,0,0,0,0
83,1,924,4,5,4,4,0,0,0,1
39,0,2262,11,12,4,4,2,3,0,0
6,1,1155,3,8,4,3,0,0,3,1
229,0,1846,12,9,4,2,1,3,0,1
0,0,1234,1,17,4,0,1,0,0,1
1,0,1819,9,10,0,3,2,3,0,1
196,1,1399,8,24,4,4,1,0,0,1
52,2,1058,12,1,4,3,1,0,0,1
43,1,3331,8,15,4,2,1,0,1,1
87,0,233,3,24,4,3,1,0,3,0
99,1,2558,9,5,4,2,1,0,0,1
76,0,781,2,18,4,3,0,0,0,1
1,0,1340,8,10,4,0,1,0,0,1
2,0,1785,6,2,2,1,0,4,0,1
166,1,1463,9,30,4,2,0,0,0,1
8,1,529,1,27,4,4,2,0,0,1
0,0,2989,10,1,4,1,2,0,0,1
8,3,1205,9,8,4,2,0,3,0,1
18,0,1953,6,12,4,0,2,0,0,0
99,3,2327,12,26,4,3,1,3,0,1
158,2,2835,10,9,4,1,2,3,0,0
36,1,2626,4,29,4,2,0,3,0,1
9,1,2427,4,8,4,2,1,3,0,1
1,1,2775,8,30,4,2,0,0,0,1
0,1,1352,9,7,4,2,1,0,0,1
5,0,1634,12,27,4,4,2,3,0,1
96,1,1282,4,9,4,3,2,3,0,1
0,0,3167,9,25,4,1,0,3,0,1
282,0,647,10,10,3,1,2,0,0,1
49,0,1886,11,4,3,2,1,0,0,1
1,1,634,1,4,4,1,1,1,0,1
225,0,1593,6,28,4,5,2,3,0,0
127,2,224,3,23,3,4,0,0,0,1
296,1,2044,9,21,4,4,0,0,1,0
54,3,2611,12,24,4,1,2,0,0,1
113,2,1998,12,26,4,5,1,3,0,1
57,3,952,10,28,4,2,0,0,0,1
0,0,2393,10,29,3,1,0,0,0,1
5,0,2844,11,6,4,2,2,0,0,0
34,0,1871,9,7,4,1,0,3,0,1
4,0,1614,10,25,4,1,0,0,0,1
38,1,3058,3,25,4,2,0,3,0,1
27,0,3425,7,6,4,2,0,5,0,0
207,3,1782,10,4,4,1,0,0,0,1
161,1,1309,4,29,4,2,2,0,3,1
106,1,3096,11,8,4,1,0,0,0,1
47,0,1751,10,11,4,3,0,0,3,1
1,1,3167,1,13,4,4,0,5,0,1
53,0,201,11,14,3,2,2,3,0,1
159,1,2225,10,26,4,4,1,3,0,0
94,2,303,11,23,4,2,1,3,0,1
0,0,3334,9,27,2,1,0,3,0,0
5,1,1234,2,25,4,3,0,0,0,1
131,0,1900,6,30,4,3,0,0,0,0
249,0,2152,12,27,3,5,0,0,3,1
172,2,2055,8,19,4,2,1,0,0,0
24,0,1652,10,19,3,4,1,3,0,1
17,1,654,9,11,4,1,0,0,0,0
4,0,292,8,31,2,0,1,0,0,1
192,0,1682,9,5,2,2,1,4,0,0
140,1,1594,8,12,4,2,0,0,3,1
38,0,3229,11,4,4,2,0,5,0,1
15,0,1189,2,18,3,3,0,0,0,1
293,0,1255,12,25,4,6,4,0,0,0
76,1,1286,4,14,4,3,0,0,3,1
17,0,2079,9,2,4,1,0,0,3,1
50,0,310,3,5,4,2,2,1,0,0
162,0,201,9,17,3,3,0,0,0,1
71,1,1139,10,8,4,3,1,0,0,1
113,0,2591,7,1,4,6,2,3,0,0
228,1,656,7,29,4,2,1,1,0,1
87,1,3235,5,16,4,10,4,5,0,0
138,1,1812,8,5,4,2,0,0,0,1
136,0,1353,6,28,4,3,0,0,0,0
157,0,952,6,30,4,3,0,0,3,0
80,0,316,3,25,4,2,1,0,3,1
229,0,794,10,22,4,2,2,0,0,0
113,0,138,3,29,4,4,0,0,3,1
85,3,2268,5,13,4,1,0,0,3,1
5,1,3353,9,3,4,1,2,5,0,1
81,0,2522,5,15,4,3,2,0,0,0
12,1,670,12,24,4,2,0,1,0,1
39,1,1468,6,26,4,0,2,0,0,1
19,0,1886,11,1,4,2,0,0,0,0
4,1,689,4,3,4,0,2,0,0,1
78,1,1659,3,24,4,3,0,0,0,1
8,1,937,2,19,3,2,1,0,0,1
37,1,2956,3,25,4,1,0,3,0,0
37,2,1659,10,22,4,2,0,3,0,1
57,1,2757,9,24,4,5,2,3,0,1
85,1,2305,8,5,4,1,0,0,0,1
79,0,435,1,10,3,2,2,0,0,1
104,0,292,12,3,3,3,0,0,0,1
183,2,886,10,31,4,3,1,1,0,1
15,0,915,3,5,4,1,2,0,3,1
0,0,2938,8,18,4,1,0,0,3,0
9,1,1785,3,16,4,2,0,0,0,1
14,0,159,12,14,4,0,1,0,3,1
20,2,3380,3,28,4,4,1,5,0,1
213,2,1569,10,1,4,2,2,0,0,0
5,1,1077,3,7,4,2,1,0,3,0
3,0,937,6,17,3,2,1,0,3,1
62,0,582,11,21,3,3,1,0,0,1
55,2,576,11,11,4,2,2,0,3,1
77,1,1152,4,11,4,3,1,0,0,1
3,0,731,7,4,2,1,1,0,0,1
100,1,974,4,8,4,5,2,0,0,1
249,0,1353,10,28,4,2,1,0,0,0
0,0,886,10,25,3,0,2,0,1,1
10,2,1114,8,24,4,2,1,0,0,1
13,0,292,10,19,2,1,1,0,0,1
105,0,2225,10,26,4,3,0,3,0,0
5,0,285,1,10,4,2,2,0,0,1
217,1,2178,10,16,4,2,2,3,0,0
301,1,1979,7,30,4,1,1,0,1,0
103,0,1404,9,6,3,3,0,0,1,1
76,0,2824,5,29,4,2,2,3,0,0
5,3,1614,4,12,2,3,0,0,0,1
35,0,2576,4,22,4,1,0,3,0,1
132,1,1659,5,6,4,2,0,0,0,1
6,0,1753,10,13,4,1,0,3,3,1
269,0,1558,10,10,4,4,1,0,0,0
2,1,47,4,20,2,1,0,0,0,1
12,0,1302,2,15,4,3,1,0,0,1
64,0,1294,4,26,4,4,0,0,3,0
0,0,1233,10,5,4,1,0,0,3,1
1,1,327,2,17,4,1,0,3,0,1
0,0,2136,10,18,2,5,1,0,0,1
199,2,444,8,2,4,4,0,0,0,0
47,1,292,11,11,2,2,0,0,0,1
40,1,3287,10,21,4,1,0,3,0,1
128,1,2103,10,11,4,3,0,0,0,0
5,0,1471,6,14,2,3,0,0,0,0
255,0,2237,12,30,4,2,2,3,0,1
51,1,880,3,21,4,3,1,1,3,1
4,2,698,12,15,4,1,0,0,3,1
204,1,1288,8,18,4,5,2,0,0,0
1,0,731,2,11,4,4,2,0,3,1
283,0,1682,12,5,2,2,1,4,0,1
197,0,1782,10,8,4,1,2,0,0,0
3,0,1505,3,22,4,1,0,0,0,1
36,1,2537,8,14,4,0,2,0,0,1
0,0,292,12,29,3,3,1,0,0,1
40,0,514,9,19,4,1,2,0,0,1
8,0,1302,4,5,4,1,0,0,0,0
51,0,2225,4,14,4,2,0,3,0,0
82,0,794,10,16,3,4,2,0,0,1
17,1,2246,9,11,4,0,2,0,0,1
57,1,128,3,10,4,1,0,0,0,1
22,0,937,10,5,3,3,0,0,0,1
132,0,1659,5,6,4,2,0,0,0,1
4,0,272,2,2,3,2,0,0,0,1
17,1,1971,9,12,4,1,1,3,0,1
46,0,582,11,11,3,2,0,0,0,1
80,1,1242,7,25,3,1,1,0,0,1
33,1,2268,7,23,4,1,2,0,3,1
18,0,1857,6,14,4,1,0,0,0,0
115,0,497,8,20,3,2,2,0,0,1
157,0,1727,7,16,4,4,2,0,1,0
5,0,232,12,9,3,2,0,0,0,1
12,4,0,8,17,1,1,0,0,0,1
308,0,488,12,29,4,3,2,0,3,0
290,0,489,6,17,4,2,1,0,0,0
130,1,1920,5,12,4,3,1,3,0,0
56,0,2240,10,5,4,4,0,4,0,1
41,0,547,3,15,3,5,0,3,0,1
59,0,800,1,28,3,1,0,0,0,1
95,2,2956,5,2,4,2,1,3,0,0
260,0,1931,9,22,4,3,0,0,3,0
143,1,1886,7,2,3,1,2,0,0,1
110,0,2803,9,22,4,3,1,3,0,0
66,2,3160,11,7,4,3,1,0,0,1
29,1,1614,11,30,4,4,2,0,0,1
27,0,292,11,29,2,0,1,0,0,1
74,1,952,4,25,4,2,1,0,0,1
10,0,2721,10,8,4,1,0,0,0,0
27,1,794,5,29,3,2,2,0,0,1
67,3,1659,7,24,4,3,2,0,0,1
315,0,2964,9,30,4,2,1,0,1,0
0,1,1661,5,24,4,1,0,0,3,1
88,0,435,3,1,4,1,0,0,3,0
43,1,3038,10,21,4,4,2,5,0,1
10,1,1030,11,14,4,3,1,0,3,1
83,1,1353,4,7,4,2,0,0,0,1
24,1,2246,5,2,4,0,1,0,3,1
181,0,644,7,1,4,4,1,0,0,0
1,0,2334,8,17,4,1,0,0,3,1
0,3,0,5,25,1,1,0,0,0,1
33,0,33,11,7,3,5,2,0,0,1
32,1,2883,9,27,4,2,0,3,0,0
6,0,1652,11,3,4,2,0,3,0,1
9,2,1467,12,9,4,2,2,3,0,1
129,1,788,8,4,4,3,2,0,0,1
33,1,35,11,10,3,4,0,0,0,1
